Abstract_tokens,DocTitle_tokens,phase,Publication Year,extended
"['practice', 'science', 'education', 'ogd', 'gap', 'knowledge', 'education', 'student', 'landscape', 'science', 'education', 'shift', 'datascience', 'teaching', 'focus', 'discipline', 'age', 'group', 'goal', 'student', 'skill', 'citizen', 'phenomenon', 'paradigm', 'shift', 'growth', 'production', 'trend', 'openness', 'sharing', 'force', 'economy', 'society', 'initiative', 'skill', 'student', 'program', 'datascience', 'science', 'charge', 'datascience', 'framework', 'perspective', 'medium', 'dataset', 'effort', 'concern', 'efficacy', 'datascience', 'education', 'strategy', 'strategy', 'utilization', 'dataset', 'investigation', 'entity', 'learner', 'practice', 'exploration', 'knowledge', 'agency', 'learner', 'address', 'body', 'evolution', 'access', 'reuse', 'entity', 'phenomenon', 'ogd', 'utilization', 'potential', 'gap', 'student', 'resource', 'creation', 'learning', 'process', 'datascience', 'science', 'education', 'power', 'learner', 'ogd', 'hand', 'experience', 'student', 'generation', 'framework', 'gap', 'knowledge', 'framework', 'datascience', 'ogd', 'student', 'economy', 'health', 'transportation', 'mining', 'student', 'perspective', 'exploration', 'ogd', 'era', 'datascience', 'education', 'student', 'skill', 'sense', 'ability']","['student', 'ogd', 'education']",phase6,2024,"['practice', 'science', 'education', 'ogd', 'gap', 'knowledge', 'education', 'student', 'landscape', 'science', 'education', 'shift', 'datascience', 'teaching', 'focus', 'discipline', 'age', 'group', 'goal', 'student', 'skill', 'citizen', 'phenomenon', 'paradigm', 'shift', 'growth', 'production', 'trend', 'openness', 'sharing', 'force', 'economy', 'society', 'initiative', 'skill', 'student', 'program', 'datascience', 'science', 'charge', 'datascience', 'framework', 'perspective', 'medium', 'dataset', 'effort', 'concern', 'efficacy', 'datascience', 'education', 'strategy', 'strategy', 'utilization', 'dataset', 'investigation', 'entity', 'learner', 'practice', 'exploration', 'knowledge', 'agency', 'learner', 'address', 'body', 'evolution', 'access', 'reuse', 'entity', 'phenomenon', 'ogd', 'utilization', 'potential', 'gap', 'student', 'resource', 'creation', 'learning', 'process', 'datascience', 'science', 'education', 'power', 'learner', 'ogd', 'hand', 'experience', 'student', 'generation', 'framework', 'gap', 'knowledge', 'framework', 'datascience', 'ogd', 'student', 'economy', 'health', 'transportation', 'mining', 'student', 'perspective', 'exploration', 'ogd', 'era', 'datascience', 'education', 'student', 'skill', 'sense', 'ability', 'student', 'ogd', 'education']"
"['capacity', 'country', 'monitoring', 'environment', 'sensing', 'space', 'earth', 'observation', 'cube', 'odc', 'mechanism', 'storage', 'framework', 'processing', 'satellite', 'feature', 'space', 'user', 'decision', 'maker', 'exploration', 'visualization', 'web', 'architecture', 'committee', 'earth', 'observation', 'satellite', 'ceo', 'web', 'user', 'interface', 'power', 'odc', 'user', 'experience', 'cube', 'overview', 'architecture', 'feature', 'order', 'adaptability', 'flexibility', 'scalability', 'robustness', 'web', 'framework', 'cloud', 'platform', 'code', 'repository', 'party', 'user', 'feature', 'preparation', 'processing', 'visualization', 'product', 'order', 'variety', 'earth', 'imaging', 'objective', 'web', 'interface']","['cube', 'portal', 'user', 'distribution', 'exploration', 'visualization']",phase4,2018,"['capacity', 'country', 'monitoring', 'environment', 'sensing', 'space', 'earth', 'observation', 'cube', 'odc', 'mechanism', 'storage', 'framework', 'processing', 'satellite', 'feature', 'space', 'user', 'decision', 'maker', 'exploration', 'visualization', 'web', 'architecture', 'committee', 'earth', 'observation', 'satellite', 'ceo', 'web', 'user', 'interface', 'power', 'odc', 'user', 'experience', 'cube', 'overview', 'architecture', 'feature', 'order', 'adaptability', 'flexibility', 'scalability', 'robustness', 'web', 'framework', 'cloud', 'platform', 'code', 'repository', 'party', 'user', 'feature', 'preparation', 'processing', 'visualization', 'product', 'order', 'variety', 'earth', 'imaging', 'objective', 'web', 'interface', 'cube', 'portal', 'user', 'distribution', 'exploration', 'visualization']"
"['engagement', 'people', 'government', 'city', 'portal', 'city', 'department', 'nature', 'ease', 'access', 'policy', 'debate', 'city', 'public', 'policy', 'process', 'participation', 'effort', 'objective', 'reason', 'dataset', 'variable', 'representation', 'city', 'department', 'pipeline', 'utility', 'dataset', 'format', 'dataset', 'creation', 'visualization', 'pipeline', 'link', 'government', 'unit', 'city', 'policy', 'hand', 'dataset', 'crime', 'finding', 'debate']","['pipeline', 'accessibility', 'utilization']",phase4,2019,"['engagement', 'people', 'government', 'city', 'portal', 'city', 'department', 'nature', 'ease', 'access', 'policy', 'debate', 'city', 'public', 'policy', 'process', 'participation', 'effort', 'objective', 'reason', 'dataset', 'variable', 'representation', 'city', 'department', 'pipeline', 'utility', 'dataset', 'format', 'dataset', 'creation', 'visualization', 'pipeline', 'link', 'government', 'unit', 'city', 'policy', 'hand', 'dataset', 'crime', 'finding', 'debate', 'pipeline', 'accessibility', 'utilization']"
"['ogd', 'ogd', 'initiative', 'potential', 'benefit', 'business', 'sector', 'market', 'insight', 'product', 'innovation', 'cost', 'decision', 'making', 'collaboration', 'transparency', 'ogd', 'consequence', 'quality', 'privacy', 'security', 'bias', 'discrimination', 'compliance', 'risk', 'benefit', 'ogd', 'portal', 'relationship', 'network', 'strategy', 'phase', 'interview', 'session', 'business', 'practitioner', 'experience', 'dataset', 'ogd', 'dataset', 'ogd', 'portal', 'risk', 'term', 'quality', 'benefit', 'ogd', 'business', 'decision', 'product', 'innovation', 'contribution', 'risk', 'benefit', 'ogd', 'ogd', 'business', 'sector']","['risk', 'benefit', 'ogd', 'business']",phase6,2023,"['ogd', 'ogd', 'initiative', 'potential', 'benefit', 'business', 'sector', 'market', 'insight', 'product', 'innovation', 'cost', 'decision', 'making', 'collaboration', 'transparency', 'ogd', 'consequence', 'quality', 'privacy', 'security', 'bias', 'discrimination', 'compliance', 'risk', 'benefit', 'ogd', 'portal', 'relationship', 'network', 'strategy', 'phase', 'interview', 'session', 'business', 'practitioner', 'experience', 'dataset', 'ogd', 'dataset', 'ogd', 'portal', 'risk', 'term', 'quality', 'benefit', 'ogd', 'business', 'decision', 'product', 'innovation', 'contribution', 'risk', 'benefit', 'ogd', 'ogd', 'business', 'sector', 'risk', 'benefit', 'ogd', 'business']"
"['investigation', 'transparency', 'web', 'portal', 'government', 'sample', 'web', 'portal', 'government', 'government', 'transparency', 'indicator', 'regulation', 'criterion', 'body', 'transparency', 'portal', 'score', 'scale', 'portal', 'government', 'government', 'influence', 'region', 'country', 'government', 'transparency', 'government', 'region', 'score', 'degree', 'compliance', 'indicator', 'complexity', 'government', 'score', 'group', 'population', 'size', 'municipality', 'transparency', 'degree', 'standardization', 'presentation', 'format', 'web', 'portal']","['government', 'web', 'portal']",phase4,2019,"['investigation', 'transparency', 'web', 'portal', 'government', 'sample', 'web', 'portal', 'government', 'government', 'transparency', 'indicator', 'regulation', 'criterion', 'body', 'transparency', 'portal', 'score', 'scale', 'portal', 'government', 'government', 'influence', 'region', 'country', 'government', 'transparency', 'government', 'region', 'score', 'degree', 'compliance', 'indicator', 'complexity', 'government', 'score', 'group', 'population', 'size', 'municipality', 'transparency', 'degree', 'standardization', 'presentation', 'format', 'web', 'portal', 'government', 'web', 'portal']"
"['search', 'team', 'government', 'publication', 'trend', 'analytic', 'visualization', 'metadata']","['ogd', 'analytic']",phase2,2013,"['search', 'team', 'government', 'publication', 'trend', 'analytic', 'visualization', 'metadata', 'ogd', 'analytic']"
"['ogd', 'process', 'role', 'person', 'charge', 'datamanagement', 'government', 'agency', 'ogd', 'security', 'standardization', 'consistency', 'opendata', 'agency', 'country', 'dissemination', 'ogd', 'citizen', 'thailand', 'government', 'framework', 'ogd', 'aspect', 'gap', 'united', 'america', 'thailand', 'coverage', 'structure', 'role', 'committee', 'thailand', 'standardization', 'security', 'opendata', 'framework', 'guideline', 'procedure', 'compliance', 'framework', 'thailand']","['framework', 'ogd', 'context', 'thailand']",phase4,2018,"['ogd', 'process', 'role', 'person', 'charge', 'datamanagement', 'government', 'agency', 'ogd', 'security', 'standardization', 'consistency', 'opendata', 'agency', 'country', 'dissemination', 'ogd', 'citizen', 'thailand', 'government', 'framework', 'ogd', 'aspect', 'gap', 'united', 'america', 'thailand', 'coverage', 'structure', 'role', 'committee', 'thailand', 'standardization', 'security', 'opendata', 'framework', 'guideline', 'procedure', 'compliance', 'framework', 'thailand', 'framework', 'ogd', 'context', 'thailand']"
"['ogd', 'ogd', 'paradigm', 'shift', 'government', 'administration', 'promise', 'transparency', 'accountability', 'collaboration', 'participation', 'innovation', 'creation', 'component', 'ogd', 'availability', 'government', 'user', 'form', 'machine', 'opendataset', 'aspect', 'usability', 'quality', 'interoperability', 'opendataset', 'diversity', 'interoperability', 'ability', 'platform', 'ontology', 'organization', 'context', 'platform', 'goal', 'platform', 'municipality', 'organization', 'creation', 'quality', 'dataset', 'degree', 'interoperability']","['ontology', 'interoperability', 'government']",phase5,2020,"['ogd', 'ogd', 'paradigm', 'shift', 'government', 'administration', 'promise', 'transparency', 'accountability', 'collaboration', 'participation', 'innovation', 'creation', 'component', 'ogd', 'availability', 'government', 'user', 'form', 'machine', 'opendataset', 'aspect', 'usability', 'quality', 'interoperability', 'opendataset', 'diversity', 'interoperability', 'ability', 'platform', 'ontology', 'organization', 'context', 'platform', 'goal', 'platform', 'municipality', 'organization', 'creation', 'quality', 'dataset', 'degree', 'interoperability', 'ontology', 'interoperability', 'government']"
"['ogd', 'ogd', 'government', 'order', 'participation', 'government', 'agency', 'performance', 'indonesia', 'country', 'ogd', 'concept', 'government', 'indonesia', 'government', 'agency', 'ogd', 'quality', 'standard', 'ogd', 'quality', 'star', 'opendata', 'standard', 'step', 'concept', 'quality', 'step', 'quality', 'government', 'publishing', 'star', 'star', 'quality', 'quality', 'input', 'star', 'quality', 'type', 'visualization', 'test', 'evaluation', 'quality', 'dataset', 'star', 'star', 'quality', 'addition', 'dataset', 'visualization', 'dataset', 'content']","['publishing', 'ogd']",phase4,2019,"['ogd', 'ogd', 'government', 'order', 'participation', 'government', 'agency', 'performance', 'indonesia', 'country', 'ogd', 'concept', 'government', 'indonesia', 'government', 'agency', 'ogd', 'quality', 'standard', 'ogd', 'quality', 'star', 'opendata', 'standard', 'step', 'concept', 'quality', 'step', 'quality', 'government', 'publishing', 'star', 'star', 'quality', 'quality', 'input', 'star', 'quality', 'type', 'visualization', 'test', 'evaluation', 'quality', 'dataset', 'star', 'star', 'quality', 'addition', 'dataset', 'visualization', 'dataset', 'content', 'publishing', 'ogd']"
"['ogd', 'ogd', 'government', 'government', 'entity', 'indonesia', 'creation', 'ogd', 'government', 'maturity', 'ogd', 'publishing', 'site', 'star', 'star', 'star', 'opendata', 'standard', 'form', 'publishing', 'ogd', 'maturity', 'indonesia', 'government', 'agency', 'government', 'form', 'file', 'star', 'star', 'star', 'format', 'framework', 'framework', 'step', 'indonesia', 'statistic', 'evaluation', 'maturity', 'star', 'star', 'star', 'star', 'opendata', 'standard', 'result', 'author', 'author', 'result']","['publishing', 'ogd', 'maturity', 'indonesia']",phase4,2017,"['ogd', 'ogd', 'government', 'government', 'entity', 'indonesia', 'creation', 'ogd', 'government', 'maturity', 'ogd', 'publishing', 'site', 'star', 'star', 'star', 'opendata', 'standard', 'form', 'publishing', 'ogd', 'maturity', 'indonesia', 'government', 'agency', 'government', 'form', 'file', 'star', 'star', 'star', 'format', 'framework', 'framework', 'step', 'indonesia', 'statistic', 'evaluation', 'maturity', 'star', 'star', 'star', 'star', 'opendata', 'standard', 'result', 'author', 'author', 'result', 'publishing', 'ogd', 'maturity', 'indonesia']"
"['role', 'decision', 'making', 'innovation', 'capability', 'country', 'asset', 'economy', 'author', 'strategy', 'power', 'strategy', 'ogd', 'quality', 'country', 'outcome', 'term', 'uk', 'strategy', 'element', 'strategy', 'ogd', 'strategy', 'sharing', 'quality', 'opendata']","['strategy', 'impact', 'ogd', 'quality']",phase5,2021,"['role', 'decision', 'making', 'innovation', 'capability', 'country', 'asset', 'economy', 'author', 'strategy', 'power', 'strategy', 'ogd', 'quality', 'country', 'outcome', 'term', 'uk', 'strategy', 'element', 'strategy', 'ogd', 'strategy', 'sharing', 'quality', 'opendata', 'strategy', 'impact', 'ogd', 'quality']"
"['access', 'climate', 'domain', 'knowledge', 'graph', 'climate', 'component', 'layer', 'schema', 'knowledge', 'graph', 'climate', 'ontology', 'sparql', 'server', 'graph', 'web', 'access', 'engine', 'entity', 'knowledge', 'graph', 'form', 'climate', 'supply', 'climate', 'variety']","['opendataportal', 'climate']",phase5,2021,"['access', 'climate', 'domain', 'knowledge', 'graph', 'climate', 'component', 'layer', 'schema', 'knowledge', 'graph', 'climate', 'ontology', 'sparql', 'server', 'graph', 'web', 'access', 'engine', 'entity', 'knowledge', 'graph', 'form', 'climate', 'supply', 'climate', 'variety', 'opendataportal', 'climate']"
"['government', 'concept', 'government', 'concept', 'transparency', 'participation', 'collaboration', 'access', 'opendataportal', 'kind', 'organization', 'sector', 'aim', 'opendataportal', 'quality', 'maturity', 'characteristic', 'factor', 'potential', 'visualization', 'usability', 'integration', 'availability', 'standardization', 'institution', 'ministry', 'government', 'country', 'proposal', 'expert', 'criterion', 'quality', 'maturity', 'opendataportal']","['quality', 'maturity', 'opendataportal']",phase3,2015,"['government', 'concept', 'government', 'concept', 'transparency', 'participation', 'collaboration', 'access', 'opendataportal', 'kind', 'organization', 'sector', 'aim', 'opendataportal', 'quality', 'maturity', 'characteristic', 'factor', 'potential', 'visualization', 'usability', 'integration', 'availability', 'standardization', 'institution', 'ministry', 'government', 'country', 'proposal', 'expert', 'criterion', 'quality', 'maturity', 'opendataportal', 'quality', 'maturity', 'opendataportal']"
"['initiative', 'opendataportal', 'order', 'portal', 'search', 'mechanism', 'metadata', 'category', 'format', 'publisher', 'lack', 'category', 'search', 'enrichment', 'opendataportal', 'category', 'dataset', 'combination', 'description', 'usage', 'dataset', 'category', 'concept', 'order', 'category', 'proposal', 'opendataportal']","['enrichment', 'opendataportal']",phase6,2024,"['initiative', 'opendataportal', 'order', 'portal', 'search', 'mechanism', 'metadata', 'category', 'format', 'publisher', 'lack', 'category', 'search', 'enrichment', 'opendataportal', 'category', 'dataset', 'combination', 'description', 'usage', 'dataset', 'category', 'concept', 'order', 'category', 'proposal', 'opendataportal', 'enrichment', 'opendataportal']"
"['administration', 'company', 'format', 'quality', 'reuse', 'access', 'point', 'query', 'citizen', 'option', 'sparql', 'language', 'sparql', 'query', 'server', 'option', 'web', 'form', 'opendataportal']","['search', 'opendataportal']",phase3,2015,"['administration', 'company', 'format', 'quality', 'reuse', 'access', 'point', 'query', 'citizen', 'option', 'sparql', 'language', 'sparql', 'query', 'server', 'option', 'web', 'form', 'opendataportal', 'search', 'opendataportal']"
"['role', 'disaster', 'response', 'recovery', 'disaster', 'situation', 'decision', 'growth', 'disaster', 'field', 'people', 'field', 'environment', 'disaster', 'situation', 'gis', 'portal', 'client', 'server', 'catalog', 'server', 'center', 'gap', 'provider', 'user', 'discovery', 'imagery', 'portal', 'kind', 'imagery', 'network', 'environment', 'interface', 'addition', 'database', 'storage', 'metadata', 'architecture', 'disaster', 'management']","['disaster', 'situation', 'gis']",phase1,2011,"['role', 'disaster', 'response', 'recovery', 'disaster', 'situation', 'decision', 'growth', 'disaster', 'field', 'people', 'field', 'environment', 'disaster', 'situation', 'gis', 'portal', 'client', 'server', 'catalog', 'server', 'center', 'gap', 'provider', 'user', 'discovery', 'imagery', 'portal', 'kind', 'imagery', 'network', 'environment', 'interface', 'addition', 'database', 'storage', 'metadata', 'architecture', 'disaster', 'management', 'disaster', 'situation', 'gis']"
"['dataset', 'format', 'content', 'opendataportal', 'representation', 'topic', 'dataset', 'resource', 'representation', 'order', 'reuse']","['dataset', 'opendataportal']",phase4,2018,"['dataset', 'format', 'content', 'opendataportal', 'representation', 'topic', 'dataset', 'resource', 'representation', 'order', 'reuse', 'dataset', 'opendataportal']"
"['code', 'publication', 'process', 'format', 'publication', 'university', 'server', 'potential', 'query', 'graph']","['representation', 'science', 'publication', 'linkeddata', 'code', 'ontology', 'portal', 'publication']",phase4,2017,"['code', 'publication', 'process', 'format', 'publication', 'university', 'server', 'potential', 'query', 'graph', 'representation', 'science', 'publication', 'linkeddata', 'code', 'ontology', 'portal', 'publication']"
"['status', 'ogd', 'brazil', 'lesson', 'government']","['ogd', 'brazil']",phase2,2012,"['status', 'ogd', 'brazil', 'lesson', 'government', 'ogd', 'brazil']"
"['ogd', 'ogd', 'field', 'government', 'review', 'status', 'ogd', 'finding', 'ogd', 'framework', 'science', 'opportunity', 'government', 'platform', 'practice', 'concern', 'opening', 'government', 'format', 'privacy', 'security', 'implication', 'ogd', 'business', 'benefit', 'country', 'gap', 'opportunity']","['literature', 'review', 'ogd', 'opportunity', 'gap']",phase4,2018,"['ogd', 'ogd', 'field', 'government', 'review', 'status', 'ogd', 'finding', 'ogd', 'framework', 'science', 'opportunity', 'government', 'platform', 'practice', 'concern', 'opening', 'government', 'format', 'privacy', 'security', 'implication', 'ogd', 'business', 'benefit', 'country', 'gap', 'opportunity', 'literature', 'review', 'ogd', 'opportunity', 'gap']"
"['ogd', 'ogd', 'government', 'initiative', 'trust', 'citizen', 'benefit', 'ogd', 'government', 'principle', 'metadata', 'interoperability', 'reference', 'code', 'master', 'lesson', 'implementation', 'literature', 'review', 'methodology', 'category', 'ogd', 'engagement', 'quality', 'utilization', 'organization', 'privacy', 'interoperability', 'ogd', 'trust', 'factor', 'opendata', 'framework', 'api', 'maturity', 'post', 'adoption', 'ogd', 'government', 'vocabulary', 'finding', 'portal', 'feature', 'assessment', 'ogd']","['literature', 'review', 'ogd']",phase5,2020,"['ogd', 'ogd', 'government', 'initiative', 'trust', 'citizen', 'benefit', 'ogd', 'government', 'principle', 'metadata', 'interoperability', 'reference', 'code', 'master', 'lesson', 'implementation', 'literature', 'review', 'methodology', 'category', 'ogd', 'engagement', 'quality', 'utilization', 'organization', 'privacy', 'interoperability', 'ogd', 'trust', 'factor', 'opendata', 'framework', 'api', 'maturity', 'post', 'adoption', 'ogd', 'government', 'vocabulary', 'finding', 'portal', 'feature', 'assessment', 'ogd', 'literature', 'review', 'ogd']"
"['government', 'opendata', 'transparency', 'goal', 'government', 'focus', 'goal', 'discussion', 'difficulty', 'government', 'opendata']","['experience', 'government', 'opendata', 'transparency', 'brazil']",phase2,2014,"['government', 'opendata', 'transparency', 'goal', 'government', 'focus', 'goal', 'discussion', 'difficulty', 'government', 'opendata', 'experience', 'government', 'opendata', 'transparency', 'brazil']"
